Team,Driver,Odds,raw_implied_p
Mercedes,Lewis Hamilton,25/1,0.038461538461538464
Mercedes,George Russel,25/1,0.038461538461538464
Red Bull,Max Verstappen,2/9,0.8181818181818182
Red Bull,Sergio Perez,12/1,0.07692307692307693
Ferrari,Charles Leclerc,25/1,0.038461538461538464
Ferrari,Carlos Sainz,28/1,0.034482758620689655
Mclaren,Lando Norris,12/1,0.07692307692307693
Mclaren,Oscar Piastri,16/1,0.058823529411764705
Alpine,Estaban Ocon,500/1,0.001996007984031936
Alpine,Pierre Gasly,500/1,0.001996007984031936
Aston Martin,Fernando Alonso,80/1,0.012345679012345678
Aston Martin,Lance Stroll,500/1,0.001996007984031936
Haas,Kevin Magnussen,500/1,0.001996007984031936
Haas,Nico Hulkenburg,500/1,0.001996007984031936
Alfa Tauri,Yuki Tsunoda,500/1,0.001996007984031936
Alfa Tauri,Daniel Riccardo,500/1,0.001996007984031936
Alfa Romeo,Valterri Bottas,500/1,0.001996007984031936
Alfa Romeo,Zhou Guanyu,500/1,0.001996007984031936
Williams,Alex Albon,500/1,0.001996007984031936
Williams,Logan Sergant,500/1,0.001996007984031936
