Team,Driver,Odds,raw_implied_p,p_norm,z,mu_hat,sigma_hat
Mercedes,Lewis Hamilton,25/1,0.0384615384615384,0.0316550494066585,-1.85700741732802,8.704026392452636,3.879374053776396
Mercedes,George Russel,25/1,0.0384615384615384,0.0316550494066585,-1.85700741732802,8.704026392452636,3.879374053776396
Red Bull,Max Verstappen,2/9,0.8181818181818182,0.6733892328325551,0.4492912980700286,-0.24296900432038604,3.879374053776396
Red Bull,Sergio Perez,12/1,0.0769230769230769,0.0633100988133171,-1.5275665279840172,7.426001954078491,3.879374053776396
Ferrari,Charles Leclerc,25/1,0.0384615384615384,0.0316550494066585,-1.85700741732802,8.704026392452636,3.879374053776396
Ferrari,Carlos Sainz,28/1,0.0344827586206896,0.028380389123211,-1.9051484399027667,8.890783426351373,3.879374053776396
Mclaren,Lando Norris,12/1,0.0769230769230769,0.0633100988133171,-1.5275665279840172,7.426001954078491,3.879374053776396
Mclaren,Oscar Piastri,16/1,0.0588235294117647,0.0484136049748895,-1.660433826200691,7.941443903375626,3.879374053776396
Alpine,Estaban Ocon,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Alpine,Pierre Gasly,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Aston Martin,Fernando Alonso,80/1,0.0123456790123456,0.0101608800564582,-2.32035353807415,10.50151931119312,3.879374053776396
Aston Martin,Lance Stroll,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Haas,Kevin Magnussen,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Haas,Nico Hulkenburg,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Alfa Tauri,Yuki Tsunoda,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Alfa Tauri,Daniel Riccardo,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Alfa Romeo,Valterri Bottas,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Alfa Romeo,Zhou Guanyu,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Williams,Alex Albon,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
Williams,Logan Sergant,500/1,0.0019960079840319,0.0016427770151159,-2.939676198436051,12.904103570716849,3.879374053776396
